split,source,source_rel_id,group,image_path,dest_image,num_boxes
train,roboflow_traffic_sign_yolo26,train/19_png.rf.8YRz0PixUcUtYS6dvXgS,roboflow_traffic_sign_yolo26/train/19_png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_traffic_sign_yolo26/train/images/19_png.rf.8YRz0PixUcUtYS6dvXgS.png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_traffic_sign_yolo26__train__19_png.rf.8YRz0PixUcUtYS6dvXgS__28b6da2ee544.png,1
train,roboflow_indian_traffic_sign_yolo26,train/67026_jpg.rf.QhPIQz6rWwHdYS8NuoRV,roboflow_indian_traffic_sign_yolo26/train/67026_jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_indian_traffic_sign_yolo26/train/images/67026_jpg.rf.QhPIQz6rWwHdYS8NuoRV.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_indian_traffic_sign_yolo26__train__67026_jpg.rf.QhPIQz6rWwHdYS8NuoRV__e0477b765a6e.jpg,1
train,roboflow_indian_traffic_sign_yolo26,train/84027_jpg.rf.iPErtpULbmOPlTgRg7iD,roboflow_indian_traffic_sign_yolo26/train/84027_jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_indian_traffic_sign_yolo26/train/images/84027_jpg.rf.iPErtpULbmOPlTgRg7iD.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_indian_traffic_sign_yolo26__train__84027_jpg.rf.iPErtpULbmOPlTgRg7iD__2b2e7c45bf3d.jpg,1
train,github_abhay,highquality_16k/BLR-2018-05-11_13-53-01/0005268,github_abhay/highquality_16k/BLR-2018-05-11_13-53-01,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-05-11_13-53-01/0005268.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-05-11_13-53-01__0005268__4abe6cb33592.jpg,1
train,github_abhay,highquality_16k/BLR-2018-05-11_13-53-01/0000848,github_abhay/highquality_16k/BLR-2018-05-11_13-53-01,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-05-11_13-53-01/0000848.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-05-11_13-53-01__0000848__2459019ff252.jpg,2
train,github_abhay,highquality_16k/BLR-2018-05-11_13-53-01/0003450,github_abhay/highquality_16k/BLR-2018-05-11_13-53-01,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-05-11_13-53-01/0003450.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-05-11_13-53-01__0003450__549ad2708c6e.jpg,2
train,github_abhay,highquality_16k/BLR-2018-05-11_13-53-01/0004998,github_abhay/highquality_16k/BLR-2018-05-11_13-53-01,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-05-11_13-53-01/0004998.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-05-11_13-53-01__0004998__f7522ba80da1.jpg,1
train,github_abhay,highquality_16k/BLR-2018-05-11_13-53-01/0003442,github_abhay/highquality_16k/BLR-2018-05-11_13-53-01,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-05-11_13-53-01/0003442.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-05-11_13-53-01__0003442__08c20402c407.jpg,2
train,github_abhay,highquality_16k/BLR-2018-05-11_13-53-01/0002232,github_abhay/highquality_16k/BLR-2018-05-11_13-53-01,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-05-11_13-53-01/0002232.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-05-11_13-53-01__0002232__a80677cbbdf1.jpg,2
train,github_abhay,highquality_16k/BLR-2018-05-11_13-53-01/0003955,github_abhay/highquality_16k/BLR-2018-05-11_13-53-01,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-05-11_13-53-01/0003955.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-05-11_13-53-01__0003955__9613ea008629.jpg,1
train,github_abhay,highquality_16k/BLR-2018-05-11_13-53-01/0000981,github_abhay/highquality_16k/BLR-2018-05-11_13-53-01,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-05-11_13-53-01/0000981.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-05-11_13-53-01__0000981__6814a1e8e129.jpg,1
train,roboflow_indian_traffic_sign_yolo26,train/67030_jpg.rf.HLBlBZYBhsjZQafLiuZK,roboflow_indian_traffic_sign_yolo26/train/67030_jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_indian_traffic_sign_yolo26/train/images/67030_jpg.rf.HLBlBZYBhsjZQafLiuZK.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_indian_traffic_sign_yolo26__train__67030_jpg.rf.HLBlBZYBhsjZQafLiuZK__1776af7e32da.jpg,1
train,roboflow_indian_traffic_sign_yolo26,train/47015_jpg.rf.KJiQ6W2AmetdWXAiYCDD,roboflow_indian_traffic_sign_yolo26/train/47015_jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_indian_traffic_sign_yolo26/train/images/47015_jpg.rf.KJiQ6W2AmetdWXAiYCDD.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_indian_traffic_sign_yolo26__train__47015_jpg.rf.KJiQ6W2AmetdWXAiYCDD__4c85043abb75.jpg,1
train,roboflow_indian_traffic_sign_yolo26,train/59009_jpg.rf.wiIcgllYEzrGo5VnnCfl,roboflow_indian_traffic_sign_yolo26/train/59009_jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_indian_traffic_sign_yolo26/train/images/59009_jpg.rf.wiIcgllYEzrGo5VnnCfl.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_indian_traffic_sign_yolo26__train__59009_jpg.rf.wiIcgllYEzrGo5VnnCfl__f6f765aeff42.jpg,1
train,roboflow_traffic_sign_yolo26,train/200_png.rf.ZsKfEcBEUpmfu3bJ5L3B,roboflow_traffic_sign_yolo26/train/200_png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_traffic_sign_yolo26/train/images/200_png.rf.ZsKfEcBEUpmfu3bJ5L3B.png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_traffic_sign_yolo26__train__200_png.rf.ZsKfEcBEUpmfu3bJ5L3B__fc4b1c398517.png,1
train,roboflow_traffic_sign_yolo26,train/200_png.rf.jIV5VGwZ1rquzCHONt3L,roboflow_traffic_sign_yolo26/train/200_png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_traffic_sign_yolo26/train/images/200_png.rf.jIV5VGwZ1rquzCHONt3L.png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_traffic_sign_yolo26__train__200_png.rf.jIV5VGwZ1rquzCHONt3L__d7df20874109.png,2
train,github_abhay,sideLeft/BLR-2018-05-07_12-01-06_sideLeft/000396_r,github_abhay/sideLeft/BLR-2018-05-07_12-01-06_sideLeft,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/sideLeft/BLR-2018-05-07_12-01-06_sideLeft/000396_r.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__sideLeft__BLR-2018-05-07_12-01-06_sideLeft__000396_r__0b03bbacfb85.jpg,1
train,github_abhay,sideLeft/BLR-2018-05-07_12-01-06_sideLeft/000174_r,github_abhay/sideLeft/BLR-2018-05-07_12-01-06_sideLeft,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/sideLeft/BLR-2018-05-07_12-01-06_sideLeft/000174_r.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__sideLeft__BLR-2018-05-07_12-01-06_sideLeft__000174_r__cabfa230a87e.jpg,1
train,github_abhay,sideLeft/BLR-2018-05-07_12-01-06_sideLeft/000438_r,github_abhay/sideLeft/BLR-2018-05-07_12-01-06_sideLeft,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/sideLeft/BLR-2018-05-07_12-01-06_sideLeft/000438_r.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__sideLeft__BLR-2018-05-07_12-01-06_sideLeft__000438_r__1a467c11fddb.jpg,1
train,github_abhay,highquality_16k/BLR-2018-05-11_13-42-30_rearNear_left/0000555,github_abhay/highquality_16k/BLR-2018-05-11_13-42-30_rearNear_left,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-05-11_13-42-30_rearNear_left/0000555.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-05-11_13-42-30_rearNear_left__0000555__5d6fe4a1718c.jpg,1
train,github_abhay,highquality_16k/BLR-2018-05-11_13-42-30_rearNear_left/0001466,github_abhay/highquality_16k/BLR-2018-05-11_13-42-30_rearNear_left,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-05-11_13-42-30_rearNear_left/0001466.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-05-11_13-42-30_rearNear_left__0001466__2ed247b72257.jpg,1
train,github_abhay,highquality_16k/BLR-2018-05-11_13-42-30_rearNear_left/0006620,github_abhay/highquality_16k/BLR-2018-05-11_13-42-30_rearNear_left,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-05-11_13-42-30_rearNear_left/0006620.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-05-11_13-42-30_rearNear_left__0006620__e364a7a7bf96.jpg,1
train,roboflow_indian_traffic_sign_yolo26,train/49000_jpg.rf.D4rDobCl4JGI11UB7080,roboflow_indian_traffic_sign_yolo26/train/49000_jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_indian_traffic_sign_yolo26/train/images/49000_jpg.rf.D4rDobCl4JGI11UB7080.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_indian_traffic_sign_yolo26__train__49000_jpg.rf.D4rDobCl4JGI11UB7080__0cec370d84cd.jpg,1
train,roboflow_indian_traffic_sign_yolo26,train/83018_jpg.rf.OLZxXRqIvPz95qo3jQKk,roboflow_indian_traffic_sign_yolo26/train/83018_jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_indian_traffic_sign_yolo26/train/images/83018_jpg.rf.OLZxXRqIvPz95qo3jQKk.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_indian_traffic_sign_yolo26__train__83018_jpg.rf.OLZxXRqIvPz95qo3jQKk__f243e19e5160.jpg,1
train,github_abhay,highquality_16k/BLR-2018-06-06_16-41-17/0000356,github_abhay/highquality_16k/BLR-2018-06-06_16-41-17,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-06-06_16-41-17/0000356.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-06-06_16-41-17__0000356__50f6d3d52eb0.jpg,1
train,github_abhay,highquality_16k/BLR-2018-06-06_16-41-17/0006867,github_abhay/highquality_16k/BLR-2018-06-06_16-41-17,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-06-06_16-41-17/0006867.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-06-06_16-41-17__0006867__ef834ff8ec24.jpg,1
train,github_abhay,highquality_16k/BLR-2018-06-06_16-41-17/0008517,github_abhay/highquality_16k/BLR-2018-06-06_16-41-17,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-06-06_16-41-17/0008517.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-06-06_16-41-17__0008517__10555b0b6eb1.jpg,1
train,github_abhay,highquality_16k/BLR-2018-06-06_16-41-17/0007317,github_abhay/highquality_16k/BLR-2018-06-06_16-41-17,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-06-06_16-41-17/0007317.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-06-06_16-41-17__0007317__05d9d6dcce75.jpg,2
train,github_abhay,highquality_16k/BLR-2018-06-06_16-41-17/0000149,github_abhay/highquality_16k/BLR-2018-06-06_16-41-17,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-06-06_16-41-17/0000149.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-06-06_16-41-17__0000149__3dd4cb5b3620.jpg,1
train,github_abhay,highquality_16k/BLR-2018-06-06_16-41-17/0005967,github_abhay/highquality_16k/BLR-2018-06-06_16-41-17,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-06-06_16-41-17/0005967.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-06-06_16-41-17__0005967__e0a21018d87b.jpg,1
train,roboflow_indian_traffic_sign_yolo26,train/18122_jpg.rf.cNOacG37lYOZd6HEmlZj,roboflow_indian_traffic_sign_yolo26/train/18122_jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_indian_traffic_sign_yolo26/train/images/18122_jpg.rf.cNOacG37lYOZd6HEmlZj.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_indian_traffic_sign_yolo26__train__18122_jpg.rf.cNOacG37lYOZd6HEmlZj__d2744eafc962.jpg,1
train,roboflow_traffic_sign_yolo26,train/259_png.rf.7uvRrv4IRJqWdn8MtwxE,roboflow_traffic_sign_yolo26/train/259_png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_traffic_sign_yolo26/train/images/259_png.rf.7uvRrv4IRJqWdn8MtwxE.png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_traffic_sign_yolo26__train__259_png.rf.7uvRrv4IRJqWdn8MtwxE__525e7ebca6f8.png,1
train,github_abhay,frontNear/BLR-2018-04-19_17-06-55_frontNear/000270_r,github_abhay/frontNear/BLR-2018-04-19_17-06-55_frontNear,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/frontNear/BLR-2018-04-19_17-06-55_frontNear/000270_r.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__frontNear__BLR-2018-04-19_17-06-55_frontNear__000270_r__27e66076cb8a.jpg,1
train,github_abhay,frontNear/BLR-2018-04-19_17-06-55_frontNear/0003540,github_abhay/frontNear/BLR-2018-04-19_17-06-55_frontNear,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/frontNear/BLR-2018-04-19_17-06-55_frontNear/0003540.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__frontNear__BLR-2018-04-19_17-06-55_frontNear__0003540__d59c8fedfc9e.jpg,2
train,github_abhay,frontNear/BLR-2018-04-19_17-06-55_frontNear/0002220,github_abhay/frontNear/BLR-2018-04-19_17-06-55_frontNear,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/frontNear/BLR-2018-04-19_17-06-55_frontNear/0002220.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__frontNear__BLR-2018-04-19_17-06-55_frontNear__0002220__c7167549a10a.jpg,1
train,github_abhay,frontNear/BLR-2018-04-19_17-06-55_frontNear/000180_r,github_abhay/frontNear/BLR-2018-04-19_17-06-55_frontNear,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/frontNear/BLR-2018-04-19_17-06-55_frontNear/000180_r.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__frontNear__BLR-2018-04-19_17-06-55_frontNear__000180_r__69b84083cb16.jpg,1
train,github_abhay,frontNear/BLR-2018-04-19_17-06-55_frontNear/0007320,github_abhay/frontNear/BLR-2018-04-19_17-06-55_frontNear,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/frontNear/BLR-2018-04-19_17-06-55_frontNear/0007320.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__frontNear__BLR-2018-04-19_17-06-55_frontNear__0007320__d4f938dfdb26.jpg,2
train,roboflow_indian_traffic_sign_yolo26,train/79013_jpg.rf.1DozlSTNohG2zoXmx9eb,roboflow_indian_traffic_sign_yolo26/train/79013_jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_indian_traffic_sign_yolo26/train/images/79013_jpg.rf.1DozlSTNohG2zoXmx9eb.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_indian_traffic_sign_yolo26__train__79013_jpg.rf.1DozlSTNohG2zoXmx9eb__ecd753cba5f6.jpg,1
train,roboflow_traffic_sign_yolo26,train/114_png.rf.br9JGsvEcjJeDgtWiNEc,roboflow_traffic_sign_yolo26/train/114_png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_traffic_sign_yolo26/train/images/114_png.rf.br9JGsvEcjJeDgtWiNEc.png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_traffic_sign_yolo26__train__114_png.rf.br9JGsvEcjJeDgtWiNEc__8e7c716ff7f2.png,1
train,roboflow_traffic_sign_yolo26,train/114_png.rf.lIdDyYEYC7y9nd3k5FVS,roboflow_traffic_sign_yolo26/train/114_png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_traffic_sign_yolo26/train/images/114_png.rf.lIdDyYEYC7y9nd3k5FVS.png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_traffic_sign_yolo26__train__114_png.rf.lIdDyYEYC7y9nd3k5FVS__207e9e5ef0aa.png,2
train,roboflow_indian_traffic_sign_yolo26,train/80079_jpg.rf.q5Eh2UuKk0gFyVqHLYY2,roboflow_indian_traffic_sign_yolo26/train/80079_jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_indian_traffic_sign_yolo26/train/images/80079_jpg.rf.q5Eh2UuKk0gFyVqHLYY2.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_indian_traffic_sign_yolo26__train__80079_jpg.rf.q5Eh2UuKk0gFyVqHLYY2__dfcdba97e156.jpg,1
train,roboflow_indian_traffic_sign_yolo26,train/68068_jpg.rf.lOAqbbHn4yOpw9xwY7Ne,roboflow_indian_traffic_sign_yolo26/train/68068_jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_indian_traffic_sign_yolo26/train/images/68068_jpg.rf.lOAqbbHn4yOpw9xwY7Ne.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_indian_traffic_sign_yolo26__train__68068_jpg.rf.lOAqbbHn4yOpw9xwY7Ne__151cc9af8418.jpg,1
train,roboflow_traffic_sign_yolo26,train/168_png.rf.X33VQ6dK54nOZAkZp0nv,roboflow_traffic_sign_yolo26/train/168_png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_traffic_sign_yolo26/train/images/168_png.rf.X33VQ6dK54nOZAkZp0nv.png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_traffic_sign_yolo26__train__168_png.rf.X33VQ6dK54nOZAkZp0nv__3f56302217ad.png,1
